pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
-1,0,0,0,0,0,0,0,1,-1,1,0,880,mid
-1,0,0,0,1,0,0,0,1,1,2,0,880,mid
-1,0,0,0,1,-1,0,0,1,-1,3,0,880,mid
-1,1,0,0,1,-1,0,0,1,1,4,0,880,mid
-1,1,0,0,1,-1,0,-1,1,-1,5,0,880,mid
-1,1,0,1,1,-1,0,-1,1,1,6,0,880,mid
-1,1,0,1,1,-1,-1,-1,1,-1,7,0,880,mid
-1,1,1,1,1,-1,-1,-1,1,1,8,0,880,end
0,0,0,0,1,0,0,0,0,1,0,1,881,start
0,0,0,0,1,0,0,0,-1,-1,1,1,881,mid
0,0,0,0,1,0,1,0,-1,1,2,1,881,mid
0,0,0,0,1,0,1,-1,-1,-1,3,1,881,mid
0,1,0,0,1,0,1,-1,-1,1,4,1,881,mid
-1,1,0,0,1,0,1,-1,-1,-1,5,1,881,mid
-1,1,1,0,1,0,1,-1,-1,1,6,1,881,end
1,0,0,0,0,0,0,0,0,1,0,1,882,start
1,-1,0,0,0,0,0,0,0,-1,1,1,882,mid
1,-1,0,0,0,0,0,1,0,1,2,1,882,mid
1,-1,0,0,0,0,-1,1,0,-1,3,1,882,mid
1,-1,0,0,1,0,-1,1,0,1,4,1,882,mid
1,-1,0,0,1,-1,-1,1,0,-1,5,1,882,mid
1,-1,0,0,1,-1,-1,1,1,1,6,1,882,end
0,1,0,0,0,0,0,0,0,1,0,-1,883,start
0,1,0,0,0,0,0,0,-1,-1,1,-1,883,mid
0,1,0,1,0,0,0,0,-1,1,2,-1,883,mid
0,1,0,1,0,0,0,-1,-1,-1,3,-1,883,mid
0,1,0,1,0,1,0,-1,-1,1,4,-1,883,mid
-1,1,0,1,0,1,0,-1,-1,-1,5,-1,883,mid
-1,1,0,1,0,1,1,-1,-1,1,6,-1,883,mid
-1,1,0,1,-1,1,1,-1,-1,-1,7,-1,883,end
1,0,0,0,0,0,0,0,0,1,0,1,884,start
1,0,0,0,-1,0,0,0,0,-1,1,1,884,mid
1,0,0,0,-1,0,0,1,0,1,2,1,884,mid
1,0,0,0,-1,0,0,1,-1,-1,3,1,884,mid
1,0,1,0,-1,0,0,1,-1,1,4,1,884,mid
1,-1,1,0,-1,0,0,1,-1,-1,5,1,884,mid
1,-1,1,0,-1,0,1,1,-1,1,6,1,884,mid
1,-1,1,0,-1,-1,1,1,-1,-1,7,1,884,mid
1,-1,1,1,-1,-1,1,1,-1,1,8,1,884,end
0,0,0,0,0,0,1,0,0,1,0,-1,885,start
0,0,0,-1,0,0,1,0,0,-1,1,-1,885,mid
0,0,0,-1,0,1,1,0,0,1,2,-1,885,mid
0,0,0,-1,-1,1,1,0,0,-1,3,-1,885,mid
0,1,0,-1,-1,1,1,0,0,1,4,-1,885,mid
0,1,0,-1,-1,1,1,0,-1,-1,5,-1,885,mid
0,1,1,-1,-1,1,1,0,-1,1,6,-1,885,mid
-1,1,1,-1,-1,1,1,0,-1,-1,7,-1,885,end
0,0,0,0,1,0,0,0,0,1,0,1,886,start
-1,0,0,0,1,0,0,0,0,-1,1,1,886,mid
-1,1,0,0,1,0,0,0,0,1,2,1,886,mid
-1,1,0,-1,1,0,0,0,0,-1,3,1,886,mid
-1,1,0,-1,1,1,0,0,0,1,4,1,886,mid
-1,1,0,-1,1,1,0,0,-1,-1,5,1,886,mid
